2018-01-27T10:29:40.908+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56323 #20 (9 connections now open)
2018-01-27T10:29:40.918+0800 I NETWORK  [conn20] received client metadata from 127.0.0.1:56323 conn20: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T10:35:14.037+0800 I -        [conn20] end connection 127.0.0.1:56323 (9 connections now open)
2018-01-27T10:35:16.648+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56402 #21 (9 connections now open)
2018-01-27T10:35:16.657+0800 I NETWORK  [conn21] received client metadata from 127.0.0.1:56402 conn21: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T10:35:29.785+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56408 #22 (10 connections now open)
2018-01-27T10:35:29.796+0800 I NETWORK  [conn22] received client metadata from 127.0.0.1:56408 conn22: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T10:35:29.837+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56409 #23 (11 connections now open)
2018-01-27T10:35:29.846+0800 I NETWORK  [conn23] received client metadata from 127.0.0.1:56409 conn23: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T10:41:52.703+0800 I -        [conn21] end connection 127.0.0.1:56402 (11 connections now open)
2018-01-27T10:41:55.177+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56568 #24 (11 connections now open)
2018-01-27T10:41:55.181+0800 I NETWORK  [conn24] received client metadata from 127.0.0.1:56568 conn24: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T10:42:11.290+0800 I -        [conn24] end connection 127.0.0.1:56568 (11 connections now open)
2018-01-27T10:42:23.512+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56591 #25 (11 connections now open)
2018-01-27T10:42:23.513+0800 I NETWORK  [conn25] received client metadata from 127.0.0.1:56591 conn25: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T10:42:23.562+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56592 #26 (12 connections now open)
2018-01-27T10:42:23.572+0800 I NETWORK  [conn26] received client metadata from 127.0.0.1:56592 conn26: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T10:43:08.927+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56605 #27 (13 connections now open)
2018-01-27T10:43:08.937+0800 I NETWORK  [conn27] received client metadata from 127.0.0.1:56605 conn27: { driver: { name: "nodejs", version: "3.0.1" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "6.1.7601" }, platform: "Node.js v8.9.3, LE, mongodb-core: 3.0.1" }
2018-01-27T10:43:39.437+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56626 #28 (14 connections now open)
2018-01-27T10:43:39.438+0800 I NETWORK  [conn28] received client metadata from 127.0.0.1:56626 conn28: { application: { name: "Robomongo" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2018-01-27T10:43:39.479+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:56627 #29 (15 connections now open)
2018-01-27T10:43:39.489+0800 I NETWORK  [conn29] received client metadata from 127.0.0.1:56627 conn29: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.3-7-gf394f8c" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
